id_hecho,nro_victimas,fecha,hora,tipo_calle,comuna,longitud,latitud,victima,acusado,rol,sexo,edad,gravedad,dia_semana
2018-0083,1,2018-08-02,5,gral paz,8,-58.47976785,-34.69153196,moto,cargas,conductor,masculino,,fatal,Thursday
2018-0085,2,2018-08-03,18,avenida,3,-58.39118948,-34.62704273,moto,pasajeros,pasajero_acompañante,femenino,22,fatal,Friday
2018-0085,2,2018-08-03,18,avenida,3,-58.39118948,-34.62704273,moto,pasajeros,conductor,masculino,30,fatal,Friday
2018-0088,1,2018-08-17,16,gral paz,12,-58.5007381,-34.5497951,moto,cargas,conductor,masculino,,fatal,Friday
2018-0090,1,2018-08-18,10,avenida,8,-58.43284809,-34.67051543,moto,auto,conductor,masculino,27,fatal,Saturday
2018-0092,1,2018-08-20,8,avenida,14,-58.4233693,-34.59774487,moto,auto,conductor,masculino,23,fatal,Monday
2018-0094,1,2018-08-23,5,calle,14,-58.4116902,-34.5857988,moto,pasajeros,conductor,masculino,32,fatal,Thursday
2018-0100,1,2018-09-20,10,avenida,1,-58.36217754,-34.62367156,moto,auto,,femenino,33,fatal,Thursday
2018-0102,1,2018-09-21,0,calle,4,-58.41083404,-34.64640709,moto,auto,conductor,masculino,20,fatal,Friday
2018-0103,1,2018-09-27,17,avenida,7,-58.44609828,-34.64446729,peaton,moto,peaton,masculino,1,fatal,Thursday
2018-0104,1,2018-10-01,8,autopista,4,-58.37709334,-34.64035082,moto,moto,conductor,masculino,22,fatal,Monday
2018-0106,1,2018-10-04,22,avenida,13,-58.43674281,-34.55161027,moto,moto,conductor,masculino,27,fatal,Thursday
2018-0108,1,2018-10-09,14,avenida,1,-58.36154069,-34.60463618,moto,auto,conductor,masculino,37,fatal,Tuesday
2018-0110,1,2018-10-13,3,avenida,15,-58.43220014,-34.60207186,peaton,moto,peaton,masculino,60,fatal,Saturday
2018-0111,1,2018-10-19,12,autopista,9,-58.46958442,-34.64949724,moto,cargas,conductor,masculino,28,fatal,Friday
2018-0112,1,2018-10-24,9,calle,15,-58.44671397,-34.59970903,moto,cargas,conductor,femenino,28,fatal,Wednesday
2018-0113,1,2018-10-25,11,calle,11,-58.47152163,-34.61474911,moto,cargas,conductor,masculino,20,fatal,Thursday
2018-0114,1,2018-10-30,2,avenida,1,-58.39032921,-34.61807951,moto,auto,conductor,masculino,23,fatal,Tuesday
2018-0117,1,2018-11-04,8,avenida,9,-58.48266599,-34.66012327,moto,moto,conductor,masculino,30,fatal,Sunday
2018-0118,1,2018-11-05,14,avenida,3,-58.40612253,-34.60774301,peaton,moto,peaton,femenino,80,fatal,Monday
2018-0126,1,2018-11-18,12,gral paz,9,-58.52994219,-34.64055918,moto,auto,conductor,masculino,27,fatal,Sunday
2018-0127,1,2018-11-19,9,gral paz,12,-58.50993046,-34.56919739,moto,moto,conductor,masculino,29,fatal,Monday
2018-0129,1,2018-11-28,4,avenida,15,-58.45021367,-34.58695347,moto,pasajeros,conductor,masculino,37,fatal,Wednesday
2018-0130,1,2018-12-03,3,avenida,10,-58.49022072,-34.62770192,moto,pasajeros,conductor,masculino,,fatal,Monday
2018-0131,1,2018-12-07,19,avenida,1,-58.36860866,-34.60106568,moto,cargas,conductor,masculino,29,fatal,Friday
2018-0134,1,2018-12-12,21,avenida,7,-58.42349365,-34.64019887,peaton,moto,peaton,masculino,56,fatal,Wednesday
2018-0137,1,2018-12-18,20,calle,1,-58.38481975,-34.61100424,moto,pasajeros,pasajero_acompañante,masculino,29,fatal,Tuesday
2018-0139,1,2018-12-22,6,calle,7,-58.44682986,-34.63888084,moto,moto,pasajero_acompañante,masculino,28,fatal,Saturday
2018-0141,1,2018-12-22,17,avenida,5,-58.41509546,-34.62085945,peaton,moto,peaton,masculino,75,fatal,Saturday
2018-0143,1,2018-12-29,5,avenida,10,-58.48606475,-34.64047818,moto,auto,conductor,masculino,22,fatal,Saturday
2019-0001,1,2019-01-08,8,avenida,2,-58.38526125,-34.5780581,moto,cargas,conductor,masculino,25,fatal,Tuesday
2019-0003,1,2019-01-12,8,avenida,15,-58.49121672,-34.59718073,moto,auto,conductor,masculino,23,fatal,Saturday
2019-0005,1,2019-01-19,12,avenida,10,-58.52108101,-34.63382309,moto,cargas,conductor,masculino,43,fatal,Saturday
2019-0007,1,2019-01-26,19,calle,5,-58.42891604,-34.6107166,moto,auto,conductor,masculino,35,fatal,Saturday
2019-0008,1,2019-01-30,22,gral paz,8,-58.47802293,-34.69156793,moto,multiple,conductor,masculino,42,fatal,Wednesday
2019-0009,1,2019-01-31,14,avenida,1,-58.37564821,-34.62200207,moto,auto,conductor,masculino,34,fatal,Thursday
2019-0012,1,2019-02-17,3,avenida,8,-58.48432691,-34.67665828,moto,auto,conductor,masculino,31,fatal,Sunday
2019-0014,1,2019-02-20,17,calle,11,-58.51664939,-34.58657938,moto,objeto fijo,conductor,masculino,69,fatal,Wednesday
2019-0016,1,2019-02-24,2,calle,4,-58.38313603,-34.63356284,moto,pasajeros,conductor,masculino,40,fatal,Sunday
2019-0019,1,2019-03-06,12,avenida,13,-58.45049163,-34.55374003,moto,auto,conductor,masculino,,fatal,Wednesday
2019-0020,1,2019-03-07,21,avenida,5,-58.41288952,-34.63572989,moto,auto,conductor,masculino,43,fatal,Thursday
2019-0021,1,2019-03-15,22,avenida,7,-58.45743597,-34.62561234,moto,auto,conductor,masculino,23,fatal,Friday
2019-0024,1,2019-03-19,7,avenida,1,-58.37208118,-34.58541957,moto,cargas,conductor,masculino,32,fatal,Tuesday
2019-0029,1,2019-04-07,10,avenida,8,-58.47976785,-34.69153196,moto,objeto fijo,conductor,masculino,27,fatal,Sunday
2019-0030,1,2019-04-09,16,calle,7,-58.45457546,-34.62447891,moto,cargas,conductor,masculino,25,fatal,Tuesday
2019-0033,1,2019-04-18,1,autopista,1,-58.36607137,-34.62150748,moto,,conductor,masculino,25,fatal,Thursday
2019-0034,1,2019-04-21,9,avenida,7,-58.45537373,-34.65093074,moto,objeto fijo,conductor,masculino,,fatal,Sunday
2019-0036,1,2019-04-26,22,calle,6,-58.4368044,-34.62147504,moto,auto,conductor,masculino,34,fatal,Friday
2019-0037,1,2019-05-01,23,avenida,3,-58.40778291,-34.61971907,moto,auto,conductor,masculino,17,fatal,Wednesday
